name;group;id;url;visibility
018f37323e3b1adf1bdbfdc7b815d286cbe51962;Commit;0;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\018f37323e3b1adf1bdbfdc7b815d286cbe51962;1.9532665824051976
9f6c353c443cceb3928279d79d031a8ff1d289d7;Commit;1;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\9f6c353c443cceb3928279d79d031a8ff1d289d7;2.7142744178462355
7f014cad46117fbc06e3eab1333c2ad9423a5d9a;Commit;2;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\7f014cad46117fbc06e3eab1333c2ad9423a5d9a;1.8048857865792767
24903804139522c6ef08270bb457f2614a9f3b3a;Commit;3;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\24903804139522c6ef08270bb457f2614a9f3b3a;2.625603064000794
bfacc5b5aeb4a720a17bbc8830941c773c2c4403;Commit;4;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\bfacc5b5aeb4a720a17bbc8830941c773c2c4403;2.1987080575292888
80ba942930edc38d22e25fa0c0e911481d669d0c;Commit;5;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\80ba942930edc38d22e25fa0c0e911481d669d0c;1.563990657047681
5fd98f988fc6e8f01011f40a8067a73212fa6280;Commit;6;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\5fd98f988fc6e8f01011f40a8067a73212fa6280;1.4342723461061646
274c80cb6a75cca372c87ec5a9c0482e82f17210;Commit;7;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\274c80cb6a75cca372c87ec5a9c0482e82f17210;1.865271229289787
f85ef30dc9b64f2f1944de162c0d39bed22aeb2b;Commit;8;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\f85ef30dc9b64f2f1944de162c0d39bed22aeb2b;2.1748283938282187
55ad00647bf2e9585cc418e163abc2cabc944d4d;Commit;9;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\55ad00647bf2e9585cc418e163abc2cabc944d4d;2.9516705121189544
eeed9737fb7c1d416710909a6b6162d50470ea6a;Commit;10;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\eeed9737fb7c1d416710909a6b6162d50470ea6a;1.2916252354447044
80e300b3928eada96447923a656e7647c9e9c344;Commit;11;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\80e300b3928eada96447923a656e7647c9e9c344;1.1554832286398617
7c2608f19332a534a97fa6984fb91b35996b25bf;Commit;12;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\7c2608f19332a534a97fa6984fb91b35996b25bf;1.768127628193161
c3879530fb25893ec2fa529c1ea977ffef911c30;Commit;13;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\c3879530fb25893ec2fa529c1ea977ffef911c30;2.619116929674143
dde32c22ca0378691e43a0537c81beb83377a943;Commit;14;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\dde32c22ca0378691e43a0537c81beb83377a943;1.7878229699044645
bfdd9e97f5592b24c2b02d9bcda39a8f6b60e14e;Commit;15;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\bfdd9e97f5592b24c2b02d9bcda39a8f6b60e14e;1.979194626746856
d16744dbad1509fa58b0bd67a6bade68281599db;Commit;16;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\d16744dbad1509fa58b0bd67a6bade68281599db;2.6447428462005638
d28406a664f8ecb6a9273834525cabb4019e2c60;Commit;17;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\d28406a664f8ecb6a9273834525cabb4019e2c60;2.023168522173941
845e786f5f4713e7214ee31ece3e51bc93152c08;Commit;18;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\845e786f5f4713e7214ee31ece3e51bc93152c08;2.0020897009533343
1938e423249d4f37b189b6556df9fdb4453ddaf8;Commit;19;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\1938e423249d4f37b189b6556df9fdb4453ddaf8;1.2265771787343998
b509ff712a07edd0b3aa002108c8f22e8677b436;Commit;20;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\b509ff712a07edd0b3aa002108c8f22e8677b436;1.8639641628749988
752886bc131ff561c713ec9b38ebdaaa786ff63c;Commit;21;https:\\gitlab.uw.edu.pl\mp347235\preant\commit\752886bc131ff561c713ec9b38ebdaaa786ff63c;2.1665287571281606
